Female,Male,Vine,Observation_no,2020-05-06,2020-05-12,2020-05-17,2020-05-20,2020-05-23,2020-05-27,2020-05-30,2020-06-02,2020-06-06,2020-06-08,2020-06-11,2020-06-14,2020-06-18,2020-06-21,2020-06-25,2020-06-29,2020-07-02,2020-07-05,2020-07-13,2020-07-22,2020-07-27,2020-08-02,2020-08-09,2020-08-13,2020-08-16,2020-08-22,2020-08-26
SKND.009.41,ND.213,1.060.001,1,1,0,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.002,1,5,3,3,3,1,11,12,13,16,16,15,19,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.004,1,1,1,1,1,1,15,4,3,NA,11,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.005,1,NA,NA,NA,3,5,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.006,1,1,3,3,3,3,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.007,1,1,0,3,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.008,1,5,3,5,5,7,13,14,15,16,17,18,18,19,19,NA,23,18,23,23,34,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.009,1,1,0,1,3,3,8,11,12,14,15,16,18,NA,NA,23,24,24,27,23,30,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.010,1,1,1,1,1,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.011,1,1,0,1,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.012,1,1,0,3,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.013,1,1,3,3,3,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.014,1,3,3,3,3,3,8,11,12,14,16,16,17,20,NA,23,24,25,24,27,27,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.015,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.016,1,1,1,5,5,8,12,13,14,14,17,18,20,NA,NA,20,23,24,25,19,22,79,79,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.018,1,3,5,7,8,11,14,14,15,17,18,18,20,23,22,25,27,24,28,30,18,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.019,1,5,3,5,5,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.020,1,1,1,3,1,1,14,15,16,19,18,18,20,NA,75,75,19,23,23,26,28,79,79,81,85,85,85,NA
SKND.009.41,ND.213,1.060.021,1,5,3,3,5,7,13,14,15,17,16,17,18,22,23,25,20,25,NA,20,29,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.022,1,5,5,7,8,12,15,15,16,17,19,60,68,73,75,77,77,79,79,79,79,79,83,79,85,83,NA,NA
SKND.009.41,ND.213,1.060.023,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.024,1,1,3,3,3,3,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.025,1,5,3,5,5,7,11,12,13,15,16,17,19,NA,23,24,22,23,25,30,26,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.026,1,3,5,3,5,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.027,1,5,1,5,5,5,1,5,8,11,11,14,15,17,19,17,18,15,20,20,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.028,1,1,3,3,1,3,8,11,12,14,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.029,1,NA,1,3,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.060.030,1,1,NA,1,3,3,11,12,13,15,15,17,18,NA,71,73,26,27,33,34,17,79,79,79,81,79,85,NA
SKND.009.41,ND.213,1.061.001,1,3,1,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.002,1,1,1,1,3,3,8,11,13,15,15,17,18,NA,22,23,26,28,31,32,24,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.004,1,5,3,5,5,1,12,13,7,NA,13,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.005,1,1,1,3,3,3,1,0,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.006,1,3,1,3,3,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.007,1,5,5,8,11,13,15,17,17,19,19,19,62,73,75,77,77,75,77,77,79,79,79,79,79,79,79,85
SKND.009.41,ND.213,1.061.008,1,5,5,5,8,12,15,15,17,20,17,65,67,71,75,77,75,75,75,39,42,NA,NA,NA,NA,NA,NA,83
SKND.009.41,ND.213,1.061.009,1,1,0,1,1,1,15,12,14,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.010,1,0,0,1,3,3,14,8,11,13,13,14,15,19,NA,23,26,17,30,34,41,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.011,1,0,0,1,1,1,13,14,15,16,NA,1,13,16,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.012,1,0,0,1,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.013,1,0,0,3,3,7,12,12,14,16,16,17,16,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.014,1,5,5,5,8,14,15,16,18,20,60,68,69,73,75,77,75,75,77,79,79,79,79,79,81,85,85,85
SKND.009.41,ND.213,1.061.015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.016,1,3,3,3,3,3,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.017,1,3,0,3,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.018,1,5,3,3,3,5,11,12,13,14,15,15,15,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.019,1,3,0,3,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.020,1,3,0,3,7,11,14,14,15,17,18,62,67,73,75,75,NA,77,73,17,79,81,85,85,85,85,85,85
SKND.009.41,ND.213,1.061.021,1,5,5,3,7,8,14,15,16,15,16,16,17,19,15,16,16,17,19,20,23,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.022,1,3,3,3,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.023,1,3,0,1,3,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.024,1,NA,NA,NA,NA,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.025,1,3,0,1,3,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.026,1,3,3,3,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.027,1,5,5,5,5,5,13,0,7,12,13,14,15,17,17,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.028,1,1,0,5,3,5,13,14,15,16,16,19,14,17,17,18,NA,22,24,79,26,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.029,1,5,5,8,8,13,15,17,18,19,19,65,69,73,75,77,77,75,79,32,79,81,83,85,85,85,85,85
SKND.009.41,ND.213,1.061.030,1,5,5,5,5,5,11,12,13,16,16,16,17,20,22,23,19,27,22,26,19,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.031,1,5,5,11,12,13,14,14,16,19,18,68,71,75,75,77,79,75,75,17,79,79,81,85,85,85,85,85
SKND.009.41,ND.213,1.061.032,1,3,0,NA,3,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.033,1,3,0,3,7,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.061.034,1,3,3,5,NA,11,14,14,15,17,17,17,63,69,73,73,75,75,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.001,1,3,0,3,3,3,15,0,NA,NA,NA,NA,NA,NA,NA,17,19,13,14,15,16,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.002,1,3,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.003,1,3,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.004,1,5,3,5,5,5,5,0,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.005,1,NA,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.006,1,3,3,3,3,3,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.007,1,3,0,1,1,1,13,0,8,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.008,1,1,5,1,8,11,15,16,18,20,20,20,61,69,69,71,18,19,22,28,79,79,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.009,1,5,5,8,11,13,15,15,17,20,65,66,71,75,75,77,77,77,79,79,79,81,83,85,85,85,85,85
SKND.009.41,ND.213,1.062.010,1,5,5,8,8,12,15,15,17,19,60,64,69,71,75,NA,77,NA,79,79,79,81,79,79,79,81,83,81
SKND.009.41,ND.213,1.062.011,1,3,0,1,3,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.012,1,3,3,3,5,5,7,11,12,14,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.013,1,3,0,1,3,1,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.014,1,3,0,1,1,1,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.015,1,3,0,3,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.016,1,3,0,3,1,1,12,8,NA,NA,8,12,14,17,18,20,22,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.017,1,3,1,3,3,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.018,1,3,1,1,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.019,1,3,1,3,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.020,1,3,3,5,8,11,14,15,16,18,18,61,69,73,75,77,79,79,79,79,79,79,79,85,85,85,85,85
SKND.009.41,ND.213,1.062.021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.022,1,5,3,5,5,5,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.023,1,3,0,3,3,8,13,14,14,15,14,16,18,NA,NA,NA,12,18,73,27,79,79,79,79,NA,83,NA,NA
SKND.009.41,ND.213,1.062.024,1,3,0,1,3,1,11,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.026,1,3,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.028,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.029,1,3,3,5,1,1,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.030,1,5,3,5,8,12,14,15,17,19,18,64,69,73,75,77,77,77,77,77,79,79,81,85,85,85,85,85
SKND.009.41,ND.213,1.062.031,1,5,3,5,8,12,14,15,15,15,15,18,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.032,1,3,3,NA,NA,5,13,12,14,15,16,NA,NA,NA,23,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.033,1,3,0,1,1,1,1,0,12,14,14,15,17,20,NA,24,17,28,30,19,37,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.034,1,NA,NA,NA,NA,3,11,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.035,1,3,5,8,11,14,14,16,NA,16,17,65,68,73,75,75,75,75,75,77,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.036,1,3,NA,1,1,1,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.062.037,1,1,1,1,1,1,5,0,NA,13,NA,15,16,19,20,62,23,15,18,20,22,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.002,1,7,5,5,5,5,15,0,7,12,13,14,16,18,19,NA,24,16,18,20,25,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.004,1,5,3,5,5,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.005,1,3,0,1,1,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.006,1,5,3,3,3,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.007,1,5,5,5,5,5,11,11,NA,NA,NA,NA,8,15,13,15,16,15,17,NA,17,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.009,1,3,3,3,3,3,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.010,1,3,0,3,3,3,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.011,1,NA,0,NA,NA,1,15,8,11,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.012,1,NA,0,NA,NA,1,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.014,1,3,0,1,3,1,12,13,14,16,13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.015,1,5,3,5,5,11,15,15,17,19,20,64,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.016,1,3,3,3,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.017,1,3,1,3,3,3,15,0,8,12,13,14,15,17,18,19,18,26,NA,31,23,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.018,1,3,1,3,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.019,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.020,1,5,5,7,8,12,15,16,8,20,17,61,68,71,73,73,73,19,75,79,79,79,79,85,85,85,85,85
SKND.009.41,ND.213,1.063.021,1,1,1,NA,1,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.022,1,3,1,3,1,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.024,1,NA,NA,NA,NA,1,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.026,1,5,5,7,11,12,15,15,17,17,18,68,69,75,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.028,1,5,3,5,7,8,15,15,17,18,18,19,19,20,22,23,NA,18,18,20,20,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.029,1,1,1,1,1,1,1,0,NA,NA,NA,NA,13,16,16,17,18,19,20,23,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.030,1,3,3,3,3,3,3,8,NA,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.031,1,5,3,5,7,8,13,14,15,16,17,17,65,71,73,75,75,75,75,30,79,79,81,85,85,85,85,85
SKND.009.41,ND.213,1.063.032,1,NA,NA,NA,NA,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.033,1,5,5,8,7,13,14,16,17,18,65,68,71,75,15,77,75,77,77,79,79,81,85,85,85,85,85,85
SKND.009.41,ND.213,1.063.034,1,5,5,7,8,12,15,17,18,19,18,63,69,73,73,73,73,75,79,79,79,79,81,83,85,85,85,NA
SKND.009.41,ND.213,1.063.035,1,3,5,5,7,8,13,13,14,16,16,62,71,75,75,77,75,75,77,79,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.036,1,5,3,5,5,5,8,11,12,NA,14,15,16,17,19,18,20,19,19,26,23,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.037,1,5,5,5,5,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.038,1,3,NA,NA,NA,3,11,11,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.039,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.040,1,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.063.041,1,1,1,1,7,1,12,12,14,16,16,15,17,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.001,1,1,1,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.002,1,5,5,8,11,14,17,18,19,20,20,NA,67,73,73,75,75,75,75,75,79,83,83,85,85,85,85,NA
SKND.009.41,ND.213,1.064.003,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.004,1,NA,NA,NA,1,1,13,8,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.005,1,1,1,3,3,3,12,13,15,16,16,NA,20,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.006,1,3,3,3,1,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.009,1,1,1,1,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
