Female,Male,Vine,Observation_no,2020-05-06,2020-05-12,2020-05-17,2020-05-20,2020-05-23,2020-05-27,2020-05-30,2020-06-02,2020-06-06,2020-06-08,2020-06-11,2020-06-14,2020-06-18,2020-06-21,2020-06-25,2020-06-29,2020-07-02,2020-07-05,2020-07-13,2020-07-22,2020-07-27,2020-08-02,2020-08-09,2020-08-13,2020-08-16,2020-08-22,2020-08-26
SKND.009.41,ND.213,1.064.043,2,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.044,2,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.064.045,2,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.001,2,0,0,1,1,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.002,2,1,3,5,7,8,13,14,15,17,15,18,61,69,71,73,NA,19,NA,20,29,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.004,2,1,1,1,3,5,8,12,14,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.005,2,0,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.006,2,5,5,3,3,7,14,15,16,16,16,66,69,73,71,71,75,75,75,77,79,83,85,85,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.008,2,5,5,5,5,5,8,11,0,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.009,2,5,5,5,5,5,8,0,0,15,11,12,14,16,17,18,20,75,20,24,79,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.010,2,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.011,2,5,5,7,11,13,13,15,15,16,61,63,69,73,71,75,75,75,75,32,36,79,79,79,79,79,79,NA
SKND.009.41,ND.213,1.065.012,2,1,NA,1,1,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.013,2,1,3,5,5,5,11,13,14,16,16,14,19,24,23,71,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.014,2,5,5,7,11,13,15,16,18,20,19,64,71,75,75,75,75,75,79,79,79,79,79,81,85,85,85,85
SKND.009.41,ND.213,1.065.015,2,0,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.016,2,0,NA,NA,NA,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.017,2,0,0,1,1,1,8,12,13,15,15,15,15,14,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.018,2,1,3,5,5,12,12,14,15,17,18,66,69,73,73,75,75,75,77,79,79,83,83,85,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.019,2,0,NA,1,1,1,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.020,2,1,3,7,8,12,14,15,15,16,17,65,69,73,75,75,75,75,77,77,79,81,81,85,85,85,85,85
SKND.009.41,ND.213,1.065.021,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.022,2,1,0,1,1,1,11,0,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.023,2,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.024,2,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.025,2,3,5,7,8,12,14,15,16,17,20,62,69,73,75,77,75,75,75,75,79,79,79,83,85,85,85,85
SKND.009.41,ND.213,1.065.026,2,3,3,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.027,2,5,5,5,5,8,12,14,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.028,2,5,5,5,5,5,13,13,14,16,16,64,67,73,73,75,75,75,77,77,79,79,79,85,85,85,85,85
SKND.009.41,ND.213,1.065.029,2,5,5,5,8,12,13,15,15,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.030,2,NA,0,NA,1,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.031,2,5,1,5,5,7,8,11,13,14,14,16,15,18,17,19,18,19,20,22,24,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.032,2,0,0,1,1,1,0,0,NA,NA,NA,NA,11,14,14,15,12,17,17,20,18,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.033,2,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.034,2,1,0,3,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.035,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.036,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.037,2,1,0,1,1,1,8,0,0,15,13,16,16,16,16,17,17,18,19,20,22,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.038,2,5,5,5,5,8,12,15,17,19,19,62,67,73,75,75,75,75,79,77,79,79,79,81,81,83,85,85
SKND.009.41,ND.213,1.065.039,2,1,0,5,8,12,15,16,19,17,20,19,20,22,15,24,25,26,32,30,42,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.040,2,NA,0,NA,NA,1,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.041,2,0,0,1,1,1,8,8,11,13,14,15,15,17,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.042,2,NA,NA,NA,NA,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.043,2,5,5,5,5,11,14,15,17,18,19,20,22,NA,NA,18,24,22,17,36,23,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.213,1.065.044,2,1,1,1,3,1,13,0,0,0,0,19,NA,NA,NA,15,29,NA,37,16,42,NA,NA,NA,NA,NA,NA,NA
